iter	Passed	Remaining
0	2	204
1	3	188
2	5	168
3	6	151
4	7	147
5	9	141
6	10	135
7	11	130
8	12	126
9	13	122
10	14	118
11	15	114
12	16	111
13	17	108
14	18	106
15	19	104
16	20	101
17	21	100
18	23	98
19	24	96
20	25	94
21	26	92
22	27	90
23	28	89
24	29	87
25	30	86
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	78
32	37	77
33	38	75
34	40	75
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	50	63
44	51	62
45	52	61
46	53	59
47	54	59
48	55	58
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	103	7
93	104	6
94	105	5
95	107	4
96	108	3
97	109	2
98	110	1
99	112	0
